-180.0	-1.932	
-179.0	-2.062	
-178.0	-2.190	
-177.0	-2.317	
-176.0	-0.244	
-175.0	-0.583	
-174.0	-0.919	
-173.0	-1.235	
-172.0	-1.530	
-171.0	-1.799	
-170.0	-2.010	
-169.0	-2.123	
-168.0	-2.192	
-167.0	-2.208	
-166.0	-2.179	
-165.0	-2.124	
-164.0	-2.059	
-163.0	-1.968	
-162.0	-1.874	
-161.0	-1.768	
-160.0	-1.665	
-159.0	-1.557	
-158.0	-1.448	
-157.0	-1.347	
-156.0	-1.251	
-155.0	-1.160	
-154.0	-1.078	
-153.0	-0.995	
-152.0	-0.922	
-151.0	-0.854	
-150.0	-0.793	
-149.0	-0.735	
-148.0	-0.684	
-147.0	-0.638	
-146.0	-0.596	
-145.0	-0.557	
-144.0	-0.521	
-143.0	-0.488	
-142.0	-0.248	
-141.0	-0.237	
-140.0	-0.227	
-139.0	-0.217	
-138.0	-0.208	
-137.0	-0.200	
-136.0	-0.192	
-135.0	-0.185	
-134.0	-0.178	
-133.0	-0.171	
-132.0	-0.165	
-131.0	-0.159	
-130.0	-0.154	
-129.0	-0.148	
-128.0	-0.144	
-127.0	-0.139	
-126.0	-0.134	
-125.0	-0.130	
-124.0	-0.125	
-123.0	-0.121	
-122.0	-0.117	
-121.0	-0.113	
-120.0	-0.110	
-119.0	-0.107	
-118.0	-0.103	
-117.0	-0.101	
-116.0	-0.098	
-115.0	-0.096	
-114.0	-0.093	
-113.0	-0.091	
-112.0	-0.089	
-111.0	-0.087	
-110.0	-0.085	
-109.0	-0.084	
-108.0	-0.082	
-107.0	-0.081	
-106.0	-0.079	
-105.0	-0.078	
-104.0	-0.077	
-103.0	-0.076	
-102.0	-0.075	
-101.0	-0.074	
-100.0	-0.073	
-99.0	-0.072	
-98.0	-0.072	
-97.0	-0.071	
-96.0	-0.070	
-95.0	-0.070	
-94.0	-0.069	
-93.0	-0.069	
-92.0	-0.069	
-91.0	-0.068	
-90.0	-0.068	
-89.0	-0.068	
-88.0	-0.068	
-87.0	-0.068	
-86.0	-0.068	
-85.0	-0.068	
-84.0	-0.039	
-83.0	-0.040	
-82.0	-0.040	
-81.0	-0.040	
-80.0	-0.040	
-79.0	-0.041	
-78.0	-0.041	
-77.0	-0.041	
-76.0	-0.042	
-75.0	-0.042	
-74.0	-0.043	
-73.0	-0.043	
-72.0	-0.044	
-71.0	-0.044	
-70.0	-0.045	
-69.0	-0.046	
-68.0	-0.046	
-67.0	-0.047	
-66.0	-0.048	
-65.0	-0.048	
-64.0	-0.049	
-63.0	-0.050	
-62.0	-0.051	
-61.0	-0.052	
-60.0	-0.053	
-59.0	-0.054	
-58.0	-0.055	
-57.0	-0.056	
-56.0	-0.057	
-55.0	-0.059	
-54.0	-0.060	
-53.0	-0.061	
-52.0	-0.062	
-51.0	-0.064	
-50.0	-0.065	
-49.0	-0.067	
-48.0	-0.068	
-47.0	-0.070	
-46.0	-0.071	
-45.0	-0.073	
-44.0	-0.074	
-43.0	-0.076	
-42.0	-0.077	
-41.0	-0.079	
-40.0	-0.080	
-39.0	-0.081	
-38.0	-0.082	
-37.0	-0.082	
-36.0	-0.082	
-35.0	-0.082	
-34.0	-0.081	
-33.0	-0.080	
-32.0	-0.077	
-31.0	-0.074	
-30.0	-0.069	
-29.0	-0.062	
-28.0	-0.053	
-27.0	-0.041	
-26.0	-0.026	
-25.0	-0.008	
-24.0	-0.399	
-23.0	-0.381	
-22.0	-0.356	
-21.0	-0.322	
-20.0	-0.278	
-19.0	-0.223	
-18.0	-0.155	
-17.0	-0.073	
-16.0	0.022	
-15.0	0.130	
-14.0	0.250	
-13.0	0.379	
-12.0	0.516	
-11.0	0.657	
-10.0	0.800	
-9.0	0.941	
-8.0	1.078	
-7.0	1.209	
-6.0	1.333	
-5.0	1.450	
-4.0	1.566	
-3.0	1.664	
-2.0	1.758	
-1.0	1.816	
-0.0	1.932	
1.0	1.709
2.0	1.796
3.0	1.881
4.0	1.943
5.0	2.023
6.0	2.085
7.0	2.136
8.0	2.258
9.0	2.354
10.0	2.352	
11.0	2.329	
12.0	2.290	
13.0	2.226	
14.0	2.149	
15.0	2.061	
16.0	1.956	
17.0	1.845	
18.0	1.731	
19.0	1.614	
20.0	1.499	
21.0	1.388	
22.0	1.279	
23.0	1.178	
24.0	1.084	
25.0	0.995	
26.0	0.913	
27.0	0.839	
28.0	0.771	
29.0	0.709	
30.0	0.653	
31.0	0.601	
32.0	0.555	
33.0	0.513	
34.0	0.475	
35.0	0.440	
36.0	0.409	
37.0	0.381	
38.0	0.355	
39.0	0.331	
40.0	0.310	
41.0	0.290	
42.0	0.272	
43.0	0.256	
44.0	0.241	
45.0	0.227	
46.0	0.214	
47.0	0.202	
48.0	0.191	
49.0	0.181	
50.0	0.172	
51.0	0.164	
52.0	0.156	
53.0	0.148	
54.0	0.141	
55.0	0.134	
56.0	0.127	
